Year,Area harvested,Production,Per capita consumption (kg/yr)
1990,23.00,947.10,1.81
1991,40.00,1635.90,1.86
1992,29.00,1184.90,1.87
1993,29.00,1184.90,1.67
1994,29.00,1184.90,1.59
1995,27.00,1066.00,1.58
1996,26.00,1066.00,1.57
1997,27.00,1055.72,1.55
1998,28.00,1024.05,1.35
1999,26.00,1024.99,1.36
2000,24.00,937.45,1.27
2001,24.00,937.44,1.34
2002,24.00,946.81,3.25
2003,35.00,2079.55,3.18
2004,21.00,1454.86,3.04
2005,20.00,1429.79,2.94
2006,20.00,1381.94,2.73
2007,20.00,1348.90,2.69
2008,19.50,1324.55,2.57
2009,20.00,1325.78,2.50
2010,19.00,1278.42,2.42
2011,18.00,1205.01,2.17
2012,18.00,1203.44,2.12
2013,18.00,1212.03,2.09
2014,18.00,1221.72,2.05
2015,17.00,1078.58,1.97
2016,16.50,1009.32,1.91
2017,16.50,987.07,1.81
2018,15.50,915.00,